"type","item1","file","date","desc"
"01.OS_Image05","Client | BLD | EEAP Preview Windows 11 Build | 22579 Client Enterprise VHDX","","3月22日","Please find the preview builds for Windows Next Build 22579.1.  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22579.1”.  If you have any questions， please reach out to your Microsoft contact.    Arch: x64   Client Business: AR-SA， CS-CZ， DA-DK， DE-DE， EN-GB， ES-ES， ES-MX， FI-FI， FR-CA， FR-FR， IT-IT， JA-JP， KO-KR， NB-NO， NL-NL， PL-PL， PT-BR， RU-RU， SV-SE， TH-TH， TR-TR， ZH-CN， ZH-TW    Editions: Pro VL， Education VL， Enterprise VL  Build type: FR"
"01.OS_Image05","Client | BLD | EEAP Preview Windows 11 Build | 22581 All Editions EN-US Only","","3月25日","Please find the preview builds for Windows Next Build 22581.1.  This is the feature complete build for to support the start of UCS and Manufacturing testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22581.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Preview Windows 11 Build | 22581 Client Business Localized Languages","","3月25日","Please find the preview builds for Windows Next Build 22581.1.  This is the feature complete build for to support the start of UCS and Manufacturing testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22581.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Preview Windows 11 Build | 22581 Client Enterprise VHDX","","3月25日","Please find the preview builds for Windows Next Build 22581.1.  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22581.1”.  If you have any questions， please reach out to your Microsoft contact.    Arch: x64   Client Business: AR-SA， CS-CZ， DA-DK， DE-DE， EN-GB， ES-ES， ES-MX， FI-FI， FR-CA， FR-FR， IT-IT， JA-JP， KO-KR， NB-NO， NL-NL， PL-PL， PT-BR， RU-RU， SV-SE， TH-TH， TR-TR， ZH-CN， ZH-TW    Editions: Pro VL， Education VL， Enterprise VL  Build type: FR"
"01.OS_Image05","Client | SPEC | Audio | Core Audio Processing Global (CAPG) Enablement Guide Mar 2022","","4月7日","Please find the preview builds for Windows Next Build 22593.1000.  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22593.1000.”.  If you have any questions， please reach out to your Microsoft contact.  Arch: x64  Editions: Enterprise OEM， Consumer， Business  Build type: FRE"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1391 (x64)","Windows11.0-KB5023595-x64.msu","3月3日","Please find the builds for Windows 11 Preview Build 22621/4.1391 LCU+SSU package and the EKB file. This is the preview for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1391”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023011) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1391 (x64)","Windows11.0-KB5023011-x64.msu","3月3日","Please find the builds for Windows 11 Preview Build 22621/4.1391 LCU+SSU package and the EKB file. This is the preview for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1391”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023011) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25309 Client Consumer Localized Languages","25309.1000.230224-1334.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月3日","Please find the preview builds for the EEAP Developer Channel Preview Build 25309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25309 All Editions EN-US Only","25309.1000.230224-1334.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月3日","Please find the preview builds for the EEAP Developer Channel Preview Build 25309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25314 All Editions EN-US Only","25314.1000.230303-1411.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月9日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25314 Client Consumer Localized Languages","25314.1000.230303-1411.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月9日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact."
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1465 (x64)","Windows11.0-KB5023595-x64.msu","3月17日","Please find the builds for Windows 11 Preview Build 22621/4.1465 LCU+SSU package and the EKB file. This is the preview for the May CI validation purposes that contains the same features as the WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1465”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023775) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25314 All Editions EN-US Only","25314.1000.230303-1411.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25314 Client Consumer Localized Languages","25314.1000.230303-1411.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25314 Kits","25314.1000.230303-1411.rs_prerelease_amd64fre_HLK.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact.."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25314 Kits","25314.1000.230303-1411.rs_prerelease_amd64fre_WDK.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact.."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25314 Kits","25314.1000.230303-1411.rs_prerelease_amd64fre_ADK.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25314.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25314.1”.  If you have any questions， please reach out to your Microsoft contact.."
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1391 (x64)","Windows11.0-KB5023595-x64.msu","3月17日","Please find the builds for Windows 11 Preview Build 22621/4.1391 LCU+SSU package and the EKB file. This is the preview for the May CI validation purposes that contains the same features as the WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1391”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023011) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1391 (x64)","Windows11.0-KB5023011-x64.msu","3月17日","Please find the builds for Windows 11 Preview Build 22621/4.1391 LCU+SSU package and the EKB file. This is the preview for the May CI validation purposes that contains the same features as the WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1391”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023011) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25309 Kits","25309.1000.230224-1334.rs_prerelease_amd64fre_HLK.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 225309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25309 Kits","25309.1000.230224-1334.rs_prerelease_amd64fre_WDK.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 225309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25309 Kits","25309.1000.230224-1334.rs_prerelease_amd64fre_ADK.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 225309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25309 Client Consumer Localized Languages","25309.1000.230224-1334.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25309 All Editions EN-US Only","25309.1000.230224-1334.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月17日","Please find the preview builds for the EEAP Developer Channel Preview Build 25309.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25309.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25324 All Editions EN-US Only","25324.1000.230317-1418.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月24日","Please find the preview builds for the EEAP Developer Channel Preview Build 25324.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25324.1”.  If you have any questions， please reach out to your Microsoft contact."
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1470 (x64)","Windows11.0-KB5023780-x64.msu","3月24日","Please find the builds for Windows 11 Preview Build 22621/4.1470 LCU+SSU package and the EKB file. This is the preview based on 3C for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1470”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023780) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1470 (x64)","Windows11.0-KB5023595-x64.msu","3月24日","Please find the builds for Windows 11 Preview Build 22621/4.1470 LCU+SSU package and the EKB file. This is the preview based on 3C for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1470”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5023780) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/3.1325 (x64)","Windows11.0-KB5022914-x64.msu","3月25日","Please find the builds for Windows 11 Preview Build 22621.1325 LCU+SSU package and the EKB file. This is the preview for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image (ensure the build number you start with is not greater than the build number of the CI you are applying) then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22623” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22623.1325”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image + Add the LCU+SSU (KB5022914) + Add EKB (KB5018863)   *Please read the attached release notes for additional information about this build"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/3.1325 (x64)","Windows11.0-KB5018863-x64.msu","3月25日","Please find the builds for Windows 11 Preview Build 22621.1325 LCU+SSU package and the EKB file. This is the preview for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image (ensure the build number you start with is not greater than the build number of the CI you are applying) then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22623” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22623.1325”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image + Add the LCU+SSU (KB5022914) + Add EKB (KB5018863)   *Please read the attached release notes for additional information about this build"
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25300 Client Consumer Localized Languages","25300.1000.230210-1451.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25300.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25300.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25300 Kits","25300.1000.230210-1451.rs_prerelease_amd64fre_HLK.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25300.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25300.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25300 Kits","25300.1000.230210-1451.rs_prerelease_amd64fre_WDK.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25300.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25300.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25300 Kits","25300.1000.230210-1451.rs_prerelease_amd64fre_ADK.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25300.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25300.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25300 All Editions EN-US Only","25300.1000.230210-1451.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25300.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25300.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25284 All Editions EN-US Only","25284.1000.230119-1316.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25284.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25284.1”.  If you have any questions， please reach out to your Microsoft contact.  02/09/2023: Added ""Window Validation OS v2.00 - WIP.EEAP.pdf"" to this Package."
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/3.1255 (x64)","Windows11.0-KB5022918-x64.msu","3月25日","Please find the builds for Windows 11 Preview Build 22621.1255 LCU+SSU package and the EKB file. This is the preview for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22623” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22623.1255”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image + Add the LCU+SSU (KB5022918) + Add EKB (KB5018863)"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/3.1255 (x64)","Windows11.0-KB5018863-x64.msu","3月25日","Please find the builds for Windows 11 Preview Build 22621.1255 LCU+SSU package and the EKB file. This is the preview for validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22623” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22623.1255”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image + Add the LCU+SSU (KB5022918) + Add EKB (KB5018863)"
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25295 Client Consumer Localized Languages","25295.1000.230203-1346.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月25日","Please find the preview builds for the EEAP Developer Channel Preview Build 25295 .1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25295.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25330 Client Consumer Localized Languages","25330.1000.230325-1609.rs_prerelease_CLIENT_CONSUMER_x64FRE_ja-jp.iso","3月31日","Please find the preview builds for the EEAP Developer Channel Preview Build 25330.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25330.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25330 Kits","25330.1000.230325-1609.rs_prerelease_amd64fre_HLK.iso","3月31日","Please find the preview builds for the EEAP Developer Channel Preview Build 25330.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25330.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25330 Kits","25330.1000.230325-1609.rs_prerelease_amd64fre_WDK.iso","3月31日","Please find the preview builds for the EEAP Developer Channel Preview Build 25330.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25330.1”.  If you have any questions， please reach out to your Microsoft contact."
"03.Kit","All Platforms | BLD | EEAP Developer Channel Preview Build | 25330 Kits","25330.1000.230325-1609.rs_prerelease_amd64fre_ADK.iso","3月31日","Please find the preview builds for the EEAP Developer Channel Preview Build 25330.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25330.1”.  If you have any questions， please reach out to your Microsoft contact."
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25330 All Editions EN-US Only","25330.1000.230325-1609.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","3月31日","Please find the preview builds for the EEAP Developer Channel Preview Build 25330.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25330.1”.  If you have any questions， please reach out to your Microsoft contact."
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1537 (x64)","Windows11.0-KB5023595-x64.msu","4月1日","Please find the builds for Windows 11 Preview Build 22621/4.1537 LCU+SSU package and the EKB file. This is the preview for May CI validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1537”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5022910) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"02.OS_UpdatePackage","Windows 11 Beta Channel Preview Build | 22621/4.1537 (x64)","Windows11.0-KB5022910-x64.msu","4月1日","Please find the builds for Windows 11 Preview Build 22621/4.1537 LCU+SSU package and the EKB file. This is the preview for May CI validation purposes that may contain additional features similar to WIP BETA External Channel builds.  This is only for validation and not for released products.  Starting with your base Windows 11， version 22H2 image then install the LCU+SSU then install the EKB in that order to unlock specific features in this build (see release notes).  Note that once you install the EKB it will change the build number to “22624” this is expected and will only happen in the preview builds.  Please file bugs for any issues you see and include the Found In build number of “22624.1537”.  If you have any questions， please reach out to your Microsoft contact.   Instructions: Start with your Windows 11， version 22H2 shipping image with a earlier build number + Add the LCU+SSU (KB5022910) + Add EKB (KB5023595)   *Please see the release notes with more information about this build"
"01.OS_Image05","Client | BLD | EEAP Developer Channel Preview Build | 25330 All Editions EN-US Only","25330.1000.230325-1609.rs_prerelease_CLIENT_CONSUMER_x64FRE_en-us.iso","4月4日","Please find the preview builds for the EEAP Developer Channel Preview Build 25330.1000 and not for shipping images or released products.  Please file bugs for any issues you see and include the Found In build number of “25330.1”.  If you have any questions， please reach out to your Microsoft contact."
